Configuration,DB_Memory,MAS_Workers,Parallel_Jobs
Config_1,250,10,10
Config_2,250,10,20
Config_3,250,10,30
Config_4,250,10,40
Config_5,250,10,50
Config_6,250,10,60
Config_7,250,22,10
Config_8,250,22,20
Config_9,250,22,30
Config_10,250,22,40
Config_11,250,22,50
Config_12,250,22,60
Config_13,250,34,10
Config_14,250,34,20
Config_15,250,34,30
Config_16,250,34,40
Config_17,250,34,50
Config_18,250,34,60
Config_19,250,46,10
Config_20,250,46,20
Config_21,250,46,30
Config_22,250,46,40
Config_23,250,46,50
Config_24,250,46,60
Config_25,250,58,10
Config_26,250,58,20
Config_27,250,58,30
Config_28,250,58,40
Config_29,250,58,50
Config_30,250,58,60
Config_31,250,70,10
Config_32,250,70,20
Config_33,250,70,30
Config_34,250,70,40
Config_35,250,70,50
Config_36,250,70,60
Config_37,750,10,10
Config_38,750,10,20
Config_39,750,10,30
Config_40,750,10,40
Config_41,750,10,50
Config_42,750,10,60
Config_43,750,22,10
Config_44,750,22,20
Config_45,750,22,30
Config_46,750,22,40
Config_47,750,22,50
Config_48,750,22,60
Config_49,750,34,10
Config_50,750,34,20
Config_51,750,34,30
Config_52,750,34,40
Config_53,750,34,50
Config_54,750,34,60
Config_55,750,46,10
Config_56,750,46,20
Config_57,750,46,30
Config_58,750,46,40
Config_59,750,46,50
Config_60,750,46,60
Config_61,750,58,10
Config_62,750,58,20
Config_63,750,58,30
Config_64,750,58,40
Config_65,750,58,50
Config_66,750,58,60
Config_67,750,70,10
Config_68,750,70,20
Config_69,750,70,30
Config_70,750,70,40
Config_71,750,70,50
Config_72,750,70,60
Config_73,1250,10,10
Config_74,1250,10,20
Config_75,1250,10,30
Config_76,1250,10,40
Config_77,1250,10,50
Config_78,1250,10,60
Config_79,1250,22,10
Config_80,1250,22,20
Config_81,1250,22,30
Config_82,1250,22,40
Config_83,1250,22,50
Config_84,1250,22,60
Config_85,1250,34,10
Config_86,1250,34,20
Config_87,1250,34,30
Config_88,1250,34,40
Config_89,1250,34,50
Config_90,1250,34,60
Config_91,1250,46,10
Config_92,1250,46,20
Config_93,1250,46,30
Config_94,1250,46,40
Config_95,1250,46,50
Config_96,1250,46,60
Config_97,1250,58,10
Config_98,1250,58,20
Config_99,1250,58,30
Config_100,1250,58,40
Config_101,1250,58,50
Config_102,1250,58,60
Config_103,1250,70,10
Config_104,1250,70,20
Config_105,1250,70,30
Config_106,1250,70,40
Config_107,1250,70,50
Config_108,1250,70,60
Config_109,1750,10,10
Config_110,1750,10,20
Config_111,1750,10,30
Config_112,1750,10,40
Config_113,1750,10,50
Config_114,1750,10,60
Config_115,1750,22,10
Config_116,1750,22,20
Config_117,1750,22,30
Config_118,1750,22,40
Config_119,1750,22,50
Config_120,1750,22,60
Config_121,1750,34,10
Config_122,1750,34,20
Config_123,1750,34,30
Config_124,1750,34,40
Config_125,1750,34,50
Config_126,1750,34,60
Config_127,1750,46,10
Config_128,1750,46,20
Config_129,1750,46,30
Config_130,1750,46,40
Config_131,1750,46,50
Config_132,1750,46,60
Config_133,1750,58,10
Config_134,1750,58,20
Config_135,1750,58,30
Config_136,1750,58,40
Config_137,1750,58,50
Config_138,1750,58,60
Config_139,1750,70,10
Config_140,1750,70,20
Config_141,1750,70,30
Config_142,1750,70,40
Config_143,1750,70,50
Config_144,1750,70,60
Config_145,2250,10,10
Config_146,2250,10,20
Config_147,2250,10,30
Config_148,2250,10,40
Config_149,2250,10,50
Config_150,2250,10,60
Config_151,2250,22,10
Config_152,2250,22,20
Config_153,2250,22,30
Config_154,2250,22,40
Config_155,2250,22,50
Config_156,2250,22,60
Config_157,2250,34,10
Config_158,2250,34,20
Config_159,2250,34,30
Config_160,2250,34,40
Config_161,2250,34,50
Config_162,2250,34,60
Config_163,2250,46,10
Config_164,2250,46,20
Config_165,2250,46,30
Config_166,2250,46,40
Config_167,2250,46,50
Config_168,2250,46,60
Config_169,2250,58,10
Config_170,2250,58,20
Config_171,2250,58,30
Config_172,2250,58,40
Config_173,2250,58,50
Config_174,2250,58,60
Config_175,2250,70,10
Config_176,2250,70,20
Config_177,2250,70,30
Config_178,2250,70,40
Config_179,2250,70,50
Config_180,2250,70,60
Config_181,2500,10,10
Config_182,2500,10,20
Config_183,2500,10,30
Config_184,2500,10,40
Config_185,2500,10,50
Config_186,2500,10,60
Config_187,2500,22,10
Config_188,2500,22,20
Config_189,2500,22,30
Config_190,2500,22,40
Config_191,2500,22,50
Config_192,2500,22,60
Config_193,2500,34,10
Config_194,2500,34,20
Config_195,2500,34,30
Config_196,2500,34,40
Config_197,2500,34,50
Config_198,2500,34,60
Config_199,2500,46,10
Config_200,2500,46,20
Config_201,2500,46,30
Config_202,2500,46,40
Config_203,2500,46,50
Config_204,2500,46,60
Config_205,2500,58,10
Config_206,2500,58,20
Config_207,2500,58,30
Config_208,2500,58,40
Config_209,2500,58,50
Config_210,2500,58,60
Config_211,2500,70,10
Config_212,2500,70,20
Config_213,2500,70,30
Config_214,2500,70,40
Config_215,2500,70,50
Config_216,2500,70,60
