Configuration,DB_Memory,MAS_Workers,Parallel_Jobs,Execution_Time,Model,Request_Size
Config_126,1750,34,60,6291.212247,CPF,16KB
Config_126,1750,34,60,6100.177204,CPF,16KB
Config_126,1750,34,60,5778.999233,CPF,16KB
Config_126,1750,34,60,6851.152823,CPF,16KB
Config_126,1750,34,60,5951.867853,CPF,16KB
Config_126,1750,34,60,6139.226199,CPF,16KB
Config_126,1750,34,60,6111.82762,CPF,16KB
Config_126,1750,34,60,5996.315415,CPF,16KB
Config_126,1750,34,60,6708.967202,CPF,16KB
Config_126,1750,34,60,6029.549316,CPF,16KB
Config_126,1750,34,60,5619.203232,CPF,16KB
Config_126,1750,34,60,6485.32419,CPF,16KB
Config_126,1750,34,60,6127.786819,CPF,16KB
Config_126,1750,34,60,5860.860529,CPF,16KB
Config_126,1750,34,60,5586.698557,CPF,16KB
Config_126,1750,34,60,6029.586136,CPF,16KB
Config_126,1750,34,60,6297.684378,CPF,16KB
Config_126,1750,34,60,5984.844228,CPF,16KB
Config_126,1750,34,60,5111.622155,CPF,16KB
Config_126,1750,34,60,6137.23597,CPF,16KB
Config_126,1750,34,60,6147.924875,CPF,16KB
Config_126,1750,34,60,5392.363502,CPF,16KB
Config_126,1750,34,60,5926.371625,CPF,16KB
Config_126,1750,34,60,5964.791533,CPF,16KB
Config_126,1750,34,60,5563.896754,CPF,16KB
Config_126,1750,34,60,5720.936061,CPF,16KB
Config_126,1750,34,60,5959.095098,CPF,16KB
Config_126,1750,34,60,6294.359872,CPF,16KB
Config_126,1750,34,60,6364.936349,CPF,16KB
Config_126,1750,34,60,6602.884726,CPF,16KB
Config_126,1750,34,60,6513.262485,CPF,16KB
Config_126,1750,34,60,6052.391255,CPF,16KB
Config_126,1750,34,60,6026.012799,CPF,16KB
Config_126,1750,34,60,5657.134105,CPF,16KB
Config_126,1750,34,60,5193.070979,CPF,16KB
Config_126,1750,34,60,5733.979456,CPF,16KB
Config_126,1750,34,60,6208.325646,CPF,16KB
Config_126,1750,34,60,6254.242301,CPF,16KB
Config_126,1750,34,60,6385.326935,CPF,16KB
Config_126,1750,34,60,5874.208914,CPF,16KB
Config_126,1750,34,60,6083.977814,CPF,16KB
Config_126,1750,34,60,5892.95121,CPF,16KB
Config_126,1750,34,60,5824.878285,CPF,16KB
Config_126,1750,34,60,5890.265887,CPF,16KB
Config_126,1750,34,60,5643.50559,CPF,16KB
Config_126,1750,34,60,6342.892003,CPF,16KB
Config_126,1750,34,60,5926.396486,CPF,16KB
Config_126,1750,34,60,6183.421745,CPF,16KB
Config_126,1750,34,60,5480.001632,CPF,16KB
Config_126,1750,34,60,6604.536294,CPF,16KB
Config_126,1750,34,60,5972.822145,CPF,16KB
Config_126,1750,34,60,6214.469688,CPF,16KB
Config_126,1750,34,60,5883.829296,CPF,16KB
Config_126,1750,34,60,6258.601288,CPF,16KB
Config_126,1750,34,60,5879.89932,CPF,16KB
Config_126,1750,34,60,5951.297225,CPF,16KB
Config_126,1750,34,60,5501.373299,CPF,16KB
Config_126,1750,34,60,5947.085144,CPF,16KB
Config_126,1750,34,60,5862.209342,CPF,16KB
Config_126,1750,34,60,6420.043348,CPF,16KB
Config_126,1750,34,60,5596.730133,CPF,16KB
Config_126,1750,34,60,6125.753804,CPF,16KB
Config_126,1750,34,60,6443.188159,CPF,16KB
Config_126,1750,34,60,5753.139078,CPF,16KB
Config_126,1750,34,60,6360.928579,CPF,16KB
Config_126,1750,34,60,5383.706207,CPF,16KB
Config_126,1750,34,60,6520.520714,CPF,16KB
Config_126,1750,34,60,6028.184531,CPF,16KB
Config_126,1750,34,60,5914.919555,CPF,16KB
Config_126,1750,34,60,5955.208843,CPF,16KB
Config_126,1750,34,60,6299.470525,CPF,16KB
Config_126,1750,34,60,6236.534457,CPF,16KB
Config_126,1750,34,60,6121.024812,CPF,16KB
Config_126,1750,34,60,6131.582153,CPF,16KB
Config_126,1750,34,60,5672.938639,CPF,16KB
Config_126,1750,34,60,5534.932525,CPF,16KB
Config_126,1750,34,60,5990.93545,CPF,16KB
Config_126,1750,34,60,6435.411276,CPF,16KB
Config_126,1750,34,60,6198.653947,CPF,16KB
Config_126,1750,34,60,5878.772202,CPF,16KB
Config_126,1750,34,60,6036.157974,CPF,16KB
Config_126,1750,34,60,6460.964013,CPF,16KB
