Configuration,DB_Memory,MAS_Workers,Parallel_Jobs,Execution_Time
Config_1,250,10,10,56.93811622
Config_2,250,10,20,58.76322395
Config_3,250,10,30,67.69298815
Config_4,250,10,40,77.06969474
Config_5,250,10,50,73.28377858
Config_6,250,10,60,78.28386067
Config_7,250,22,10,38.63519451
Config_8,250,22,20,39.57630408
Config_9,250,22,30,38.39175851
Config_10,250,22,40,48.45193065
Config_11,250,22,50,48.42204197
Config_12,250,22,60,53.41048167
Config_13,250,34,10,24.49552564
Config_14,250,34,20,18.71931306
Config_15,250,34,30,24.66112512
Config_16,250,34,40,35.47427664
Config_17,250,34,50,38.22155868
Config_18,250,34,60,49.85695095
Config_19,250,46,10,15.09817749
Config_20,250,46,20,17.57677937
Config_21,250,46,30,36.96654172
Config_22,250,46,40,33.50941637
Config_23,250,46,50,39.9759389
Config_24,250,46,60,37.51455694
Config_25,250,58,10,14.75266265
Config_26,250,58,20,23.02918922
Config_27,250,58,30,21.71960838
Config_28,250,58,40,34.35306636
Config_29,250,58,50,34.47138282
Config_30,250,58,60,41.01610752
Config_31,250,70,10,13.03372046
Config_32,250,70,20,30.30364444
Config_33,250,70,30,25.9747674
Config_34,250,70,40,25.75369888
Config_35,250,70,50,40.15497808
Config_36,250,70,60,34.93803527
Config_37,750,10,10,52.83219676
Config_38,750,10,20,46.98952817
Config_39,750,10,30,55.14694854
Config_40,750,10,40,67.77218497
Config_41,750,10,50,75.48021169
Config_42,750,10,60,77.64472019
Config_43,750,22,10,27.49422236
Config_44,750,22,20,31.56694529
Config_45,750,22,30,30.67985382
Config_46,750,22,40,39.47324273
Config_47,750,22,50,45.76926991
Config_48,750,22,60,58.3580749
Config_49,750,34,10,22.33713907
Config_50,750,34,20,16.80384684
Config_51,750,34,30,32.23946747
Config_52,750,34,40,33.69363622
Config_53,750,34,50,37.23443762
Config_54,750,34,60,48.67742906
Config_55,750,46,10,22.12662882
Config_56,750,46,20,26.6280318
Config_57,750,46,30,22.77554359
Config_58,750,46,40,30.42556933
Config_59,750,46,50,38.62794836
Config_60,750,46,60,46.84935684
Config_61,750,58,10,12.41203842
Config_62,750,58,20,18.87961472
Config_63,750,58,30,19.27623473
Config_64,750,58,40,23.82687648
Config_65,750,58,50,38.87053872
Config_66,750,58,60,46.58910975
Config_67,750,70,10,13.01553625
Config_68,750,70,20,23.39325134
Config_69,750,70,30,25.18376698
Config_70,750,70,40,25.14998808
Config_71,750,70,50,35.18256488
Config_72,750,70,60,46.06576969
Config_73,1250,10,10,51.07541526
Config_74,1250,10,20,64.07776373
Config_75,1250,10,30,48.15581993
Config_76,1250,10,40,70.36405798
Config_77,1250,10,50,71.6897808
Config_78,1250,10,60,74.7595087
Config_79,1250,22,10,27.99793432
Config_80,1250,22,20,22.60128586
Config_81,1250,22,30,36.440771
Config_82,1250,22,40,44.32469329
Config_83,1250,22,50,54.92860066
Config_84,1250,22,60,49.94777934
Config_85,1250,34,10,16.04324627
Config_86,1250,34,20,22.57692907
Config_87,1250,34,30,34.66272487
Config_88,1250,34,40,36.72946983
